School Year,ULCS Code,School Name,School Level,Average Daily Attendance
2016-2017,5390,Potter-Thomas School,Elementary-Middle,90.2
2016-2017,5400,Richmond School,Elementary,90.7
2016-2017,5410,Isaac A. Sheppard School,Elementary,93.2
2016-2017,5420,John Welsh School,Elementary-Middle,92.4
2016-2017,5430,Alternative Middle Years at James Martin,Middle,91.4
2016-2017,5440,Frances E. Willard School,Elementary,90.09999999999999
2016-2017,5470,William Cramp School,Elementary,91.9
2016-2017,5480,General Philip Kearny School,Elementary-Middle,91.9
2016-2017,5490,Cayuga School,Elementary,90.4
2016-2017,5500,Thurgood Marshall School,Elementary-Middle,91.5
2016-2017,5520,Kensington High School for Creative and Performing Arts,High,81.8
2016-2017,5530,Philip H. Sheridan School,Elementary,91.09999999999999
2016-2017,5550,Kensington Health Sciences Academy,High,80.59999999999999
2016-2017,5560,Spring Garden School,Elementary-Middle,92.9
2016-2017,5590,John H. Webster School,Elementary,89.9
2016-2017,5680,Honorable Luis Munoz-Marin School,Elementary-Middle,89.5
2016-2017,6010,Central High School,High,95.8
2016-2017,6030,Roxborough High School,High,86.2
2016-2017,6040,Walter B. Saul High School,High,89.2
2016-2017,6050,Philadelphia High School for Girls,High,91.4
2016-2017,6060,Martin Luther King High School,High,73.90000000000001
2016-2017,6090,A. Philip Randolph Career and Technical High School,High,81.90000000000001
2016-2017,6200,Anna B. Day School,Elementary-Middle,91.2
2016-2017,6210,Franklin S. Edmonds School,Elementary,93.3
2016-2017,6220,Eleanor C. Emlen School,Elementary,92.2
2016-2017,6230,Fitler Academics Plus School,Elementary-Middle,93.4
2016-2017,6250,Charles W. Henry School,Elementary-Middle,93.7
2016-2017,6260,Henry H. Houston School,Elementary-Middle,93.4
2016-2017,6270,Jenks Academy for Arts and Sciences,Elementary-Middle,95.2
2016-2017,6300,James Logan School,Elementary,90.7
2016-2017,6310,John F. McCloskey School,Elementary-Middle,91.8
2016-2017,6320,Thomas Mifflin School,Elementary-Middle,92.5
2016-2017,6340,Joseph Pennell School,Elementary,91.4
2016-2017,6350,Samuel Pennypacker School,Elementary,89.5
2016-2017,6360,Theodore Roosevelt School,Elementary-Middle,84.09999999999999
2016-2017,6380,Shawmont School,Elementary-Middle,94.3
2016-2017,6390,Edward T. Steel School,Elementary-Middle,87.40000000000001
2016-2017,6410,Cook-Wissahickon School,Elementary-Middle,93.4
2016-2017,6440,Anna L. Lingelbach School,Elementary-Middle,93.9
2016-2017,6450,James Dobson School,Elementary-Middle,94.4
2016-2017,6460,Hill-Freedman World Academy,Middle-High,92.0
2016-2017,6470,John B. Kelly School,Elementary,90.7
2016-2017,6480,Academy for the Middle Years at Northwest,Middle,93.59999999999999
2016-2017,6540,Lankenau High School,High,91.9
2016-2017,7010,Frankford High School,High,78.09999999999999
2016-2017,7100,Jay Cooke School,Elementary-Middle,91.09999999999999
2016-2017,7110,Warren G. Harding School,Middle,88.2
2016-2017,7120,Samuel Fels High School,High,83
2016-2017,7130,General Louis Wagner School,Middle,88.09999999999999
2016-2017,7150,Juniata Park Academy,Elementary-Middle,93.3
2016-2017,7200,Clara Barton School,Elementary,91.5
2016-2017,7220,Laura H. Carnell School,Elementary,91.59999999999999
2016-2017,7260,Ellwood School,Elementary,92.2
2016-2017,7270,Thomas K. Finletter School,Elementary-Middle,93.59999999999999
2016-2017,7280,Benjamin Franklin School,Elementary-Middle,93.3
2016-2017,7290,Allen M. Stearne School,Elementary-Middle,90.3
2016-2017,7300,Francis Hopkinson School,Elementary-Middle,90.59999999999999
2016-2017,7310,Feltonville Intermediate School,Elementary,93.0
2016-2017,7320,Julia W. Howe School,Elementary,91.59999999999999
2016-2017,7330,Henry W. Lawton School,Elementary,91.0
2016-2017,7350,James R. Lowell School,Elementary,92.2
2016-2017,7360,John Marshall School,Elementary,86.3
2016-2017,7370,"Grover Washington, Jr. School",Middle,91.2
2016-2017,7380,Alexander K. McClure School,Elementary,92.3
2016-2017,7390,Andrew J. Morrison School,Elementary-Middle,91.3
2016-2017,7400,Olney School,Elementary-Middle,92.9
2016-2017,7430,James J. Sullivan School,Elementary,89.59999999999999
2016-2017,7440,Bayard Taylor School,Elementary,90.09999999999999
2016-2017,7460,William H. Ziegler School,Elementary-Middle,92.4
2016-2017,7470,Bridesburg School,Elementary-Middle,91.59999999999999
2016-2017,7490,Prince Hall School,Elementary,92.0
2016-2017,7500,Feltonville School of Arts and Sciences,Middle,92.09999999999999
2016-2017,7510,Mary M. Bethune School,Elementary-Middle,87.5
2016-2017,7530,William Rowen School,Elementary,92.59999999999999
2016-2017,7730,Roberto Clemente School,Middle,82.3
2016-2017,8010,Abraham Lincoln High School,High,79
2016-2017,8020,Northeast High School,High,86.8
2016-2017,8030,George Washington High School,High,85.5
2016-2017,8040,Arts Academy at Benjamin Rush,High,93.7
2016-2017,8090,Swenson Arts and Technology High School,High,90.90000000000001
2016-2017,8120,Woodrow Wilson School,Middle,93.3
2016-2017,8140,Austin Meehan School,Middle,89.59999999999999
2016-2017,8160,Baldi School,Middle,94.0
2016-2017,8200,Ethan Allen School,Elementary-Middle,91.59999999999999
2016-2017,8210,Joseph H. Brown School,Elementary,92.0
2016-2017,8230,Kennedy C. Crossan School,Elementary,95.09999999999999
2016-2017,8240,Hamilton Disston School,Elementary-Middle,89.2
2016-2017,8250,Edwin Forrest School,Elementary,92.5
2016-2017,8260,Fox Chase School,Elementary,94.0
2016-2017,8270,Thomas Holme School,Elementary,93.5
2016-2017,8300,Mayfair School,Elementary-Middle,94.0
2016-2017,8310,J. Hampton Moore School,Elementary,94.3
2016-2017,8340,Solomon Solis-Cohen School,Elementary,93.4
2016-2017,8350,Gilbert Spruance School,Elementary-Middle,92.4
2016-2017,8360,Rhawnhurst School,Elementary,95.4
2016-2017,8370,Watson Comly School,Elementary,94.59999999999999
2016-2017,8380,Louis H. Farrell School,Elementary-Middle,95.4
2016-2017,8390,A.L. Fitzpatrick School,Elementary-Middle,92.2
2016-2017,8400,Anne Frank School,Elementary,95.09999999999999
2016-2017,8410,Robert B. Pollock School,Elementary,92.9
2016-2017,8420,Stephen Decatur School,Elementary-Middle,94.0
2016-2017,8430,Joseph Greenberg School,Elementary-Middle,96.59999999999999
2016-2017,8440,William H. Loesche School,Elementary,93.8
2016-2017,8560,The Workshop School,High,90.0
2016-2017,2680,The Science Leadership Academy at Beeber,High,91.7
2016-2017,5610,Building 21,High,80.40000000000001
2016-2017,5620,The U School,High,77.59999999999999
2016-2017,5660,The LINC,High,84.3
2016-2017,6400,Widener Memorial School,Elementary-Middle-High,82.3
2016-2017,8780,Philadelphia Virtual Academy,Middle-High,100.0
2016-2017,2050,Science Leadership Academy Middle School,Middle,95.59999999999999
2016-2017,4360,Kenderton Elementary School,Elementary-Middle,88.59999999999999
2016-2017,5700,Kensington High School,High,73.7
2016-2017,8770,John Hancock Demonstration School,Elementary-Middle,94.09999999999999
2017-2018,1010,John Bartram High School,High,84.09999999999999
2017-2018,1020,West Philadelphia High School,High,80.3
2017-2018,1030,High School of the Future,High,92.59999999999999
2017-2018,1050,Paul Robeson High School for Human Services,High,92.4
2017-2018,1100,William L. Sayre High School,High,76.2
2017-2018,1130,William T. Tilden School,Middle,92.3
2017-2018,1190,Motivation High School,High,95.3
2017-2018,1200,John Barry School,Elementary-Middle,88.5
2017-2018,1230,William C. Bryant School,Elementary-Middle,91.0
2017-2018,1250,Joseph W. Catharine School,Elementary,92.5
2017-2018,1260,Benjamin B. Comegys School,Elementary-Middle,90.59999999999999
2017-2018,1280,Sadie Alexander School,Elementary-Middle,96.9
2017-2018,1290,Andrew Hamilton School,Elementary-Middle,90.3
2017-2018,1300,Avery D. Harrington School,Elementary-Middle,87.5
2017-2018,1340,Henry C. Lea School,Elementary-Middle,91.7
2017-2018,1350,William C. Longstreth School,Elementary-Middle,91.0
2017-2018,1360,Morton McMichael School,Elementary-Middle,91.8
2017-2018,1370,S. Weir Mitchell School,Elementary-Middle,90.90000000000001
2017-2018,1380,Thomas G. Morton School,Elementary,91.3
2017-2018,1390,Samuel Powel School,Elementary,94.8
2017-2018,1400,John M. Patterson School,Elementary,93.0
2017-2018,1410,James Rhoads School,Elementary-Middle,88.59999999999999
2017-2018,1420,Martha Washington School,Elementary-Middle,91.7
2017-2018,1440,Penrose School,Elementary-Middle,91.2
2017-2018,1460,Add B. Anderson School,Elementary-Middle,92.0
2017-2018,1470,Alain Locke School,Elementary-Middle,90.09999999999999
2017-2018,1490,Rudolph Blankenburg School,Elementary-Middle,87.40000000000001
2017-2018,1580,Middle Years Alternative School,Middle,95.2
2017-2018,2000,South Philadelphia High School,High,86.7
2017-2018,2010,Benjamin Franklin High School,High,80.9
2017-2018,2020,High School for Creative and Performing Arts,High,96.8
2017-2018,2140,Julia R. Masterman School,Middle-High,98.3
2017-2018,2160,Furness High School,High,87.0
2017-2018,2190,D. Newlin Fell School,Elementary-Middle,94.0
2017-2018,2210,Bache-Martin School,Elementary-Middle,92.59999999999999
2017-2018,2240,F. Amedee Bregy School,Elementary-Middle,91.59999999999999
2017-2018,2260,George W. Childs School,Elementary-Middle,93.0
2017-2018,2290,Franklin Learning Center,High,93.7
2017-2018,2320,Stephen Girard School,Elementary,90.4
2017-2018,2340,General George A. McCall School,Elementary-Middle,97.5
2017-2018,2370,Delaplaine McDaniel School,Elementary-Middle,91.3
2017-2018,2380,William M. Meredith School,Elementary-Middle,96.8
2017-2018,2390,Robert Morris School,Elementary-Middle,92.0
2017-2018,2410,Girard Academic Music Program,Middle-High,96.09999999999999
2017-2018,2450,Edwin M. Stanton School,Elementary-Middle,93.9
2017-2018,2470,Albert M. Greenfield School,Elementary-Middle,96.59999999999999
2017-2018,2480,Chester A. Arthur School,Elementary-Middle,93.5
2017-2018,2490,Laura W. Waring School,Elementary-Middle,91.5
2017-2018,2510,Andrew Jackson School,Elementary-Middle,95.09999999999999
2017-2018,2520,Abram S. Jenks School,Elementary,96.5
2017-2018,2540,Francis S. Key School,Elementary,94.7
2017-2018,2580,Eliza B. Kirkbride School,Elementary-Middle,96.5
2017-2018,2590,George W. Nebinger School,Elementary-Middle,94.9
2017-2018,2620,Academy at Palumbo,High,95.9
2017-2018,2630,George W. Sharswood School,Elementary-Middle,92.3
2017-2018,2640,Southwark School,Elementary-Middle,95.2
2017-2018,2650,Science Leadership Academy,High,96.0
2017-2018,2670,Constitution High School,High,94.4
2017-2018,2690,John H. Taggart School,Elementary-Middle,95.09999999999999
2017-2018,2720,Vare-Washington School,Elementary-Middle,94.0
2017-2018,4020,Overbrook High School,High,77.3
2017-2018,4030,High School of Engineering and Science,Middle-High,96.5
2017-2018,4060,Murrell Dobbins Career and Technical High School,High,87.40000000000001
2017-2018,4140,Strawberry Mansion High School,High,78.2
2017-2018,4220,James G. Blaine School,Elementary-Middle,90.3
2017-2018,4240,Lewis C. Cassidy Academics Plus School,Elementary-Middle,90.8
2017-2018,4270,William Dick School,Elementary-Middle,88.59999999999999
2017-2018,4280,Samuel Gompers School,Elementary-Middle,91.8
2017-2018,4300,Edward Heston School,Elementary-Middle,87.8
2017-2018,4320,Robert E. Lamberton School,Elementary-Middle,89.09999999999999
2017-2018,4350,E. Washington Rhodes School,Elementary-Middle,88.8
2017-2018,4370,Overbrook Elementary School,Elementary-Middle,92.09999999999999
2017-2018,4380,Thomas M. Peirce School,Elementary,89.3
2017-2018,4440,Dr. Ethel Allen School,Elementary-Middle,90.3
2017-2018,4460,Tanner G. Duckrey School,Elementary-Middle,86.8
2017-2018,4470,Richard R. Wright School,Elementary,90.90000000000001
2017-2018,4480,Overbrook Educational Center,Elementary-Middle,94.5
2017-2018,4530,Edward Gideon School,Elementary-Middle,88.5
2017-2018,4560,William D. Kelley School,Elementary-Middle,88.8
2017-2018,4570,General George G. Meade School,Elementary-Middle,86.9
2017-2018,5020,Thomas A. Edison High School,High,81.59999999999999
2017-2018,5050,Philadelphia Military Academy,High,91.7
2017-2018,5060,Jules E. Mastbaum Area Vocational Technical High School,High,88.59999999999999
2017-2018,5070,Parkway Northwest High School,High,93.5
2017-2018,5080,Parkway Center City Middle College High School,High,94.2
2017-2018,5090,Parkway West High School,High,92.8
2017-2018,5150,William W. Bodine High School,High,95.2
2017-2018,5160,Penn Treaty High School,Middle-High,91.09999999999999
2017-2018,5170,Julia de Burgos School,Elementary-Middle,89.4
2017-2018,5200,Alexander Adaire School,Elementary-Middle,96.09999999999999
2017-2018,5210,Henry A. Brown School,Elementary-Middle,92.0
2017-2018,5230,Russell H. Conwell School,Middle,93.9
2017-2018,5250,Paul L. Dunbar School,Elementary-Middle,92.9
2017-2018,5260,Lewis Elkin School,Elementary,89.59999999999999
2017-2018,5300,Horatio B. Hackett School,Elementary,92.7
2017-2018,5320,John F. Hartranft School,Elementary-Middle,92.0
2017-2018,5330,William H. Hunter School,Elementary-Middle,89.7
2017-2018,5340,James R. Ludlow School,Elementary-Middle,92.09999999999999
2017-2018,5350,William McKinley School,Elementary-Middle,91.4
2017-2018,5370,John Moffet School,Elementary,94.4
2017-2018,5390,Potter-Thomas School,Elementary-Middle,90.2
2017-2018,5400,Richmond School,Elementary,91.9
2017-2018,5410,Isaac A. Sheppard School,Elementary,90.09999999999999
2017-2018,5420,John Welsh School,Elementary-Middle,91.09999999999999
2017-2018,5430,Alternative Middle Years at James Martin,Middle,92.09999999999999
2017-2018,5440,Frances E. Willard School,Elementary,91.9
2017-2018,5470,William Cramp School,Elementary,91.7
2017-2018,5480,General Philip Kearny School,Elementary-Middle,92.0
2017-2018,5490,Cayuga School,Elementary,91.3
2017-2018,5500,Thurgood Marshall School,Elementary-Middle,91.0
2017-2018,5520,Kensington High School for Creative and Performing Arts,High,86.8
2017-2018,5530,Philip H. Sheridan School,Elementary,89.9
2017-2018,5550,Kensington Health Sciences Academy,High,85.40000000000001
2017-2018,5560,Spring Garden School,Elementary-Middle,92.4
2017-2018,5590,John H. Webster School,Elementary,91.4
2017-2018,5680,Honorable Luis Munoz-Marin School,Elementary-Middle,90.5
2017-2018,6010,Central High School,High,97.3
2017-2018,6030,Roxborough High School,High,88.0
2017-2018,6040,Walter B. Saul High School,High,94.2
2017-2018,6050,Philadelphia High School for Girls,High,94.5
2017-2018,6060,Martin Luther King High School,High,79.90000000000001
2017-2018,6090,A. Philip Randolph Career and Technical High School,High,90.3
2017-2018,6200,Anna B. Day School,Elementary-Middle,92.59999999999999
2017-2018,6210,Franklin S. Edmonds School,Elementary-Middle,93.59999999999999
2017-2018,6220,Eleanor C. Emlen School,Elementary,92.5
2017-2018,6230,Fitler Academics Plus School,Elementary-Middle,94.09999999999999
2017-2018,6250,Charles W. Henry School,Elementary-Middle,94.5
2017-2018,6260,Henry H. Houston School,Elementary-Middle,93.3
2017-2018,6270,Jenks Academy for Arts and Sciences,Elementary-Middle,95.7
2017-2018,6300,James Logan School,Elementary,91.2
2017-2018,6310,John F. McCloskey School,Elementary-Middle,91.09999999999999
2017-2018,6320,Thomas Mifflin School,Elementary-Middle,93.3
2017-2018,6340,Joseph Pennell School,Elementary,91.59999999999999
2017-2018,6350,Samuel Pennypacker School,Elementary-Middle,90.7
2017-2018,6360,Theodore Roosevelt School,Elementary-Middle,86.9
2017-2018,6380,Shawmont School,Elementary-Middle,94.5
2017-2018,6390,Edward T. Steel School,Elementary-Middle,86.8
2017-2018,6410,Cook-Wissahickon School,Elementary-Middle,94.3
2017-2018,6440,Anna L. Lingelbach School,Elementary-Middle,94.09999999999999
2017-2018,6450,James Dobson School,Elementary-Middle,93.9
2017-2018,6460,Hill-Freedman World Academy,Middle-High,95.8
2017-2018,6470,John B. Kelly School,Elementary,90.2
2017-2018,6480,Academy for the Middle Years at Northwest,Middle,95.5
2017-2018,6540,Lankenau High School,High,93.5
2017-2018,7010,Frankford High School,High,83.5
2017-2018,7100,Jay Cooke School,Elementary-Middle,89.59999999999999
2017-2018,7110,Warren G. Harding School,Middle,88.2
2017-2018,7120,Samuel Fels High School,High,87.0
2017-2018,7130,General Louis Wagner School,Middle,92.0
2017-2018,7150,Juniata Park Academy,Elementary-Middle,93.9
2017-2018,7200,Clara Barton School,Elementary,91.9
2017-2018,7220,Laura H. Carnell School,Elementary,90.90000000000001
2017-2018,7260,Ellwood School,Elementary,93.2
2017-2018,7270,Thomas K. Finletter School,Elementary-Middle,94.5
2017-2018,7280,Benjamin Franklin School,Elementary-Middle,97.09999999999999
2017-2018,7290,Allen M. Stearne School,Elementary-Middle,90.3
2017-2018,7300,Francis Hopkinson School,Elementary-Middle,91.8
2017-2018,7310,Feltonville Intermediate School,Elementary,93.5
2017-2018,7320,Julia W. Howe School,Elementary,93.59999999999999
2017-2018,7330,Henry W. Lawton School,Elementary,90.3
2017-2018,7350,James R. Lowell School,Elementary,92.59999999999999
2017-2018,7360,John Marshall School,Elementary,89.2
2017-2018,7370,"Grover Washington, Jr. School",Middle,93.9
2017-2018,7380,Alexander K. McClure School,Elementary,91.8
2017-2018,7390,Andrew J. Morrison School,Elementary-Middle,92.4
2017-2018,7400,Olney School,Elementary-Middle,94.0
2017-2018,7430,James J. Sullivan School,Elementary,90.0
2017-2018,7440,Bayard Taylor School,Elementary,88.5
2017-2018,7460,William H. Ziegler School,Elementary-Middle,92.09999999999999
2017-2018,7470,Bridesburg School,Elementary-Middle,92.59999999999999
2017-2018,7490,Prince Hall School,Elementary,92.8
2017-2018,7500,Feltonville School of Arts and Sciences,Middle,93.7
2017-2018,7510,Mary M. Bethune School,Elementary-Middle,89.0
2017-2018,7530,William Rowen School,Elementary,92.8
2017-2018,7730,Roberto Clemente School,Middle,89.2
2017-2018,8010,Abraham Lincoln High School,High,88.2
2017-2018,8020,Northeast High School,High,89.9
2017-2018,8030,George Washington High School,High,90.59999999999999
2017-2018,8040,Arts Academy at Benjamin Rush,High,95.7
2017-2018,8090,Swenson Arts and Technology High School,High,93.2
2017-2018,8120,Woodrow Wilson School,Middle,93.7
2017-2018,8140,Austin Meehan School,Middle,90.90000000000001
2017-2018,8160,Baldi School,Middle,94.4
2017-2018,8200,Ethan Allen School,Elementary-Middle,93.9
2017-2018,8210,Joseph H. Brown School,Elementary,92.3
2017-2018,8230,Kennedy C. Crossan School,Elementary,95.09999999999999
2017-2018,8240,Hamilton Disston School,Elementary-Middle,88.0
2017-2018,8250,Edwin Forrest School,Elementary,91.9
2017-2018,8260,Fox Chase School,Elementary,94.3
2017-2018,8270,Thomas Holme School,Elementary,93.7
2017-2018,8300,Mayfair School,Elementary-Middle,94.59999999999999
2017-2018,8310,J. Hampton Moore School,Elementary,94.3
2017-2018,8340,Solomon Solis-Cohen School,Elementary,93.8
2017-2018,8350,Gilbert Spruance School,Elementary-Middle,92.7
2017-2018,8360,Rhawnhurst School,Elementary,95.59999999999999
2017-2018,8370,Watson Comly School,Elementary,94.2
2017-2018,8380,Louis H. Farrell School,Elementary-Middle,95.7
2017-2018,8390,A.L. Fitzpatrick School,Elementary-Middle,92.8
2017-2018,8400,Anne Frank School,Elementary,95.7
2017-2018,8410,Robert B. Pollock School,Elementary,93.2
2017-2018,8420,Stephen Decatur School,Elementary-Middle,94.4
2017-2018,8430,Joseph Greenberg School,Elementary-Middle,96.9
2017-2018,8440,William H. Loesche School,Elementary,94.7
2017-2018,8560,The Workshop School,High,91.7
2017-2018,2680,The Science Leadership Academy at Beeber,High,96.0
2017-2018,5610,Building 21,High,86.0
2017-2018,5620,The U School,High,99.0
2017-2018,5660,The LINC,High,88.2
2017-2018,6400,Widener Memorial School,Elementary-Middle-High,77.5
2017-2018,8780,Philadelphia Virtual Academy,Middle-High,100.0
2017-2018,2050,Science Leadership Academy Middle School,Middle,96.3
2017-2018,4360,Kenderton Elementary School,Elementary-Middle,90.4
2017-2018,5700,Kensington High School,High,81.8
2017-2018,8770,John Hancock Demonstration School,Elementary-Middle,94.0
2017-2018,5180,Vaux High School: A Big Picture,High,87.5
2018-2019,1010,John Bartram High School,High,81.1
2018-2019,1020,West Philadelphia High School,High,80.8
2018-2019,1030,High School of the Future,High,91.8
2018-2019,1050,Paul Robeson High School for Human Services,High,91.9
2018-2019,1100,William L. Sayre High School,High,81.7
2018-2019,1130,William T. Tilden School,Middle,93.3
2018-2019,1190,Motivation High School,High,96.9
2018-2019,1200,John Barry School,Elementary-Middle,89.09999999999999
2018-2019,1230,William C. Bryant School,Elementary-Middle,87.5
2018-2019,1250,Joseph W. Catharine School,Elementary,91.9
2018-2019,1260,Benjamin B. Comegys School,Elementary-Middle,89.09999999999999
2018-2019,1280,Sadie Alexander School,Elementary-Middle,97.4
2018-2019,1290,Andrew Hamilton School,Elementary-Middle,89.5
2018-2019,1300,Avery D. Harrington School,Elementary-Middle,88.2
2018-2019,1340,Henry C. Lea School,Elementary-Middle,91.7
2018-2019,1350,William C. Longstreth School,Elementary-Middle,91.3
2018-2019,1360,Morton McMichael School,Elementary-Middle,91.3
2018-2019,1370,S. Weir Mitchell School,Elementary-Middle,90.3
2018-2019,1380,Thomas G. Morton School,Elementary,91.7
2018-2019,1390,Samuel Powel School,Elementary,96.09999999999999
2018-2019,1400,John M. Patterson School,Elementary,94.5
2018-2019,1410,James Rhoads School,Elementary-Middle,88.8
2018-2019,1420,Martha Washington School,Elementary-Middle,92.3
2018-2019,1440,Penrose School,Elementary-Middle,91.7
2018-2019,1460,Add B. Anderson School,Elementary-Middle,91.7
2018-2019,1470,Alain Locke School,Elementary-Middle,89.2
2018-2019,1490,Rudolph Blankenburg School,Elementary-Middle,89.2
2018-2019,1580,Middle Years Alternative School,Middle,96.0
2018-2019,2000,South Philadelphia High School,High,83.5
2018-2019,2010,Benjamin Franklin High School,High,79.3
2018-2019,2020,High School for Creative and Performing Arts,High,96.09999999999999
2018-2019,2140,Julia R. Masterman School,Middle-High,97.90000000000001
2018-2019,2160,Furness High School,High,87.0
2018-2019,2190,D. Newlin Fell School,Elementary-Middle,93.59999999999999
2018-2019,2210,Bache-Martin School,Elementary-Middle,93.09999999999999
2018-2019,2240,F. Amedee Bregy School,Elementary-Middle,92.09999999999999
2018-2019,2260,George W. Childs School,Elementary-Middle,92.8
2018-2019,2290,Franklin Learning Center,High,93.09999999999999
2018-2019,2320,Stephen Girard School,Elementary,90.7
2018-2019,2340,General George A. McCall School,Elementary-Middle,97.6
2018-2019,2370,Delaplaine McDaniel School,Elementary-Middle,90.4
2018-2019,2380,William M. Meredith School,Elementary-Middle,96.9
2018-2019,2390,Robert Morris School,Elementary-Middle,92.2
2018-2019,2410,Girard Academic Music Program,Middle-High,96.40000000000001
2018-2019,2450,Edwin M. Stanton School,Elementary-Middle,93.2
